date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:08:23	894/894	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2024%20Aug%202022%2014:43:09%20GMT	https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon3n.svg	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon3n.svg	(from https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/7e9b1082-693b-4d84-aec4-c80ec3ca1364.css)
18:08:23	1042/1042	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2024%20Aug%202022%2014:43:14%20GMT	https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon4.svg	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon4.svg	(from https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/7e9b1082-693b-4d84-aec4-c80ec3ca1364.css)
18:08:24	1098/1098	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2024%20Aug%202022%2014:43:19%20GMT	https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon4n.svg	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon4n.svg	(from https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/7e9b1082-693b-4d84-aec4-c80ec3ca1364.css)
18:08:24	1286/1286	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2024%20Aug%202022%2014:43:24%20GMT	https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon4r.svg	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon4r.svg	(from https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/7e9b1082-693b-4d84-aec4-c80ec3ca1364.css)
18:08:24	1342/1342	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2024%20Aug%202022%2014:43:29%20GMT	https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon4rn.svg	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon4rn.svg	(from https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/7e9b1082-693b-4d84-aec4-c80ec3ca1364.css)
18:08:24	2014/2014	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2024%20Aug%202022%2014:43:34%20GMT	https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon4t.svg	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon4t.svg	(from https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/7e9b1082-693b-4d84-aec4-c80ec3ca1364.css)
18:08:25	1545/1545	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2024%20Aug%202022%2014:43:39%20GMT	https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon4tn.svg	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon4tn.svg	(from https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/7e9b1082-693b-4d84-aec4-c80ec3ca1364.css)
18:08:25	815/815	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2024%20Aug%202022%2014:43:44%20GMT	https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon5.svg	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon5.svg	(from https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/7e9b1082-693b-4d84-aec4-c80ec3ca1364.css)
18:08:25	815/815	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2024%20Aug%202022%2014:43:49%20GMT	https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon5n.svg	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon5n.svg	(from https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/7e9b1082-693b-4d84-aec4-c80ec3ca1364.css)
18:08:25	1249/1249	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2024%20Aug%202022%2014:43:54%20GMT	https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon6.svg	C:/Meus%20Sites/wdadadad/s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/img/post-previsao-do-tempo/Icon6.svg	(from https://s3.glbimg.com/v1/AUTH_c631e406debd4c4fac98a09d48dc17d1/bastian-post/prod/g1/6d9569ca-e6c1-4a81-bd07-4a7094a9c7dd/7e9b1082-693b-4d84-aec4-c80ec3ca1364.css)
